alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1759218177.6563,elite,109.91148844301,1722161408.3526,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762848952,1763023737.7965,80,http,http://172.67.177.7:80,false,19.7434425354,80504,3551,95.775385164476,172.67.177.7
true,1761555510.4696,elite,110.22699725616,1725643581.6233,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762849473,1763023737.5676,80,http,http://104.16.1.1:80,false,18.534421920776,81316,4780,94.448057981788,104.16.1.1
true,1758183948.3397,elite,110.83639522311,1750610321.3466,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762849093,1763023736.9977,80,http,http://172.67.180.70:80,false,19.345760345459,80649,103,99.872448979592,172.67.180.70
true,1758183029.502,elite,111.3357475939,1742429400.6824,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Amsterdam,Europe,EU,"The Netherlands",NL,,true,"Cloudflare London, LLC",52.3676,4.90414,false,"Servers COM",true,"North Holland",success,Europe/Amsterdam,1012,1762849004,1763023736.7977,80,http,http://188.42.88.172:80,false,16.741275787354,81163,3353,96.032703866723,188.42.88.172
true,1758175525.4562,elite,111.189717296,1723729383.6847,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762849034,1763023736.6944,80,http,http://172.67.251.80:80,false,19.185066223145,80446,3610,95.705244122966,172.67.251.80
true,1761555605.2893,elite,110.56537938518,1742541156.7318,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Newark,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",40.7357,-74.1724,false,"Cloudflare, Inc.",false,"New Jersey",success,America/New_York,07175,1762848901,1763023736.3638,80,http,http://104.18.195.23:80,false,19.833326339722,80797,3117,96.285482756155,104.18.195.23
true,1759218248.8516,elite,110.96357196637,1742396998.8471,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762849285,1763023736.0466,80,http,http://216.205.52.118:80,false,17.152070999146,81608,3889,95.451302384879,216.205.52.118
true,1759218367.4237,elite,109.88502848497,1722052540.5501,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Ottawa,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",45.413,-75.7011,false,"Shopify, Inc.",true,Ontario,success,America/Toronto,K2P,1762849245,1763023735.6142,80,http,http://23.227.39.246:80,false,19.946336746216,81754,3745,95.619831810898,23.227.39.246
true,1758183443.1898,elite,110.2948668309,1742439662.4298,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Willemstad,"North America",NA,Curacao,CW,,true,"Cloudflare London, LLC",12.1224,-68.8824,false,"Hollycorn N.V",true,Curaçao,success,America/Curacao,,1762849403,1763023735.5795,80,http,http://5.10.245.189:80,false,19.197463989258,81894,3658,95.724237890406,5.10.245.189
true,1758178356.1689,elite,111.17059727736,1742449128.9297,"AS27647 Weebly, Inc.",WEEBLY,Oakland,"North America",NA,"United States",US,"Downtown Oakland",true,"Weebly, Inc.",37.8086,-122.269,false,"Weebly, Inc.",true,California,success,America/Los_Angeles,94612,1762848869,1763023735.1879,80,http,http://199.34.228.9:80,false,18.330812454224,81204,4064,95.233850917108,199.34.228.9
